protein	KO	enrichM_annotation
custom_211974_17	K21563	"dnr; CRP/FNR family transcriptional regulator, dissimilatory nitrate respiration regulator"
WP_027669736.1	K02519	"infB, MTIF2; translation initiation factor IF-2"
WP_028248820.1	K03286	"TC.OOP; OmpA-OmpF porin, OOP family"
WP_028252511.1	K00253	"IVD, ivd; isovaleryl-CoA dehydrogenase [EC:1.3.8.4]"
WP_028445936.1	K06907	K06907; uncharacterized protein
WP_028454485.1	K00262	"E1.4.1.4, gdhA; glutamate dehydrogenase (NADP+) [EC:1.4.1.4]"
custom_1844708_34	K02874	"RP-L14, MRPL14, rplN; large subunit ribosomal protein L14"
WP_028628089.1	K06907	K06907; uncharacterized protein
custom_105791_6	K03768	"PPIB, ppiB; peptidyl-prolyl cis-trans isomerase B (cyclophilin B) [EC:5.2.1.8]"
custom_1170490_2	K00674	"dapD; 2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase [EC:2.3.1.117]"
custom_1280504_1	K02956	"RP-S15, MRPS15, rpsO; small subunit ribosomal protein S15"
WP_029312050.1	K02358	"tuf, TUFM; elongation factor Tu"
KER84787.1	K01895	"ACSS1_2, acs; acetyl-CoA synthetase [EC:6.2.1.1]"
custom_268279_18	K01637	"E4.1.3.1, aceA; isocitrate lyase [EC:4.1.3.1]"
custom_2259121_8	K00029	"E1.1.1.40, maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]"
custom_299854_4	K14448	mcd; (2S)-methylsuccinyl-CoA dehydrogenase [EC:1.3.8.12]
custom_2326945_6	K03413	"cheY; two-component system, chemotaxis family, chemotaxis protein CheY"
custom_547455_7	K13993	HSP20; HSP20 family protein
custom_753437_14	K00174	"korA, oorA, oforA; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]"
custom_753437_7	K01879	glyS; glycyl-tRNA synthetase beta chain [EC:6.1.1.14]
custom_753437_6	K01878	glyQ; glycyl-tRNA synthetase alpha chain [EC:6.1.1.14]
custom_2391629_4	K01624	"FBA, fbaA; fructose-bisphosphate aldolase, class II [EC:4.1.2.13]"
custom_1083363_8	K04087	hflC; modulator of FtsH protease HflC
custom_205431_2	K16148	glgM; alpha-maltose-1-phosphate synthase [EC:2.4.1.342]
custom_932643_34	K01601	rbcL; ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39]
custom_2026286_25	K06910	"PEBP1, TFS1; phosphatidylethanolamine-binding protein"
custom_1427685_5	K18138	"acrB, mexB, adeJ, smeE, mtrD, cmeB; multidrug efflux pump"
custom_831940_22	K13643	"iscR; Rrf2 family transcriptional regulator, iron-sulfur cluster assembly transcription factor"
custom_1515924_22	K00311	ETFDH; electron-transferring-flavoprotein dehydrogenase [EC:1.5.5.1]
custom_2347006_21	K03641	tolB; TolB protein
custom_1921144_3	K07305	msrB; peptide-methionine (R)-S-oxide reductase [EC:1.8.4.12]
custom_729666_2	K07054	K07054; uncharacterized protein
custom_2586219_33	K01945	purD; phosphoribosylamine---glycine ligase [EC:6.3.4.13]
custom_974635_3	K02939	"RP-L9, MRPL9, rplI; large subunit ribosomal protein L9"
custom_998907_8	K02890	"RP-L22, MRPL22, rplV; large subunit ribosomal protein L22"
custom_2214482_20	K01255	"CARP, pepA; leucyl aminopeptidase [EC:3.4.11.1]"
custom_2072810_5	K08738	CYC; cytochrome c
custom_2309895_12	K02959	"RP-S16, MRPS16, rpsP; small subunit ribosomal protein S16"
custom_2163134_5	K03111	ssb; single-strand DNA-binding protein
custom_857994_14	K09458	"fabF, OXSM, CEM1; 3-oxoacyl-[acyl-carrier-protein] synthase II [EC:2.3.1.179]"
custom_2334816_19	K00413	"CYC1, CYT1, petC; ubiquinol-cytochrome c reductase cytochrome c1 subunit"
custom_745369_31	K01835	pgm; phosphoglucomutase [EC:5.4.2.2]
custom_1171409_3	K03768	"PPIB, ppiB; peptidyl-prolyl cis-trans isomerase B (cyclophilin B) [EC:5.2.1.8]"
custom_99454_15	K02881	"RP-L18, MRPL18, rplR; large subunit ribosomal protein L18"
KFB73561.1	K14393	actP; cation/acetate symporter
custom_607347_2	K03406	mcp; methyl-accepting chemotaxis protein
custom_2101539_5	K10924	mshA; MSHA pilin protein MshA
custom_1755603_6	K03744	lemA; LemA protein
custom_1625605_14	K09458	"fabF, OXSM, CEM1; 3-oxoacyl-[acyl-carrier-protein] synthase II [EC:2.3.1.179]"
custom_2520553_9	K03545	tig; trigger factor
custom_1454758_8	K00042	"garR, glxR; 2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]"
custom_1010621_16	K03406	mcp; methyl-accepting chemotaxis protein
custom_1548943_7	K03386	"PRDX2_4, ahpC; peroxiredoxin (alkyl hydroperoxide reductase subunit C) [EC:1.11.1.15]"
custom_511178_3	K10001	"gltI, aatJ; glutamate/aspartate transport system substrate-binding protein"
custom_1874189_12	K20035	dmdC; 3-(methylthio)propanoyl-CoA dehydrogenase [EC:1.3.8.-]
custom_1874189_11	K07107	ybgC; acyl-CoA thioester hydrolase [EC:3.1.2.-]
custom_2080912_6	K02655	pilE; type IV pilus assembly protein PilE
custom_2437637_22	K00799	"GST, gst; glutathione S-transferase [EC:2.5.1.18]"
custom_481803_1	K03296	"TC.HAE1; hydrophobic/amphiphilic exporter-1 (mainly G- bacteria), HAE1 family"
custom_2596236_4	K09859	K09859; uncharacterized protein
custom_2214482_17	K01873	"VARS, valS; valyl-tRNA synthetase [EC:6.1.1.9]"
custom_42213_59	K02890	"RP-L22, MRPL22, rplV; large subunit ribosomal protein L22"
custom_42213_52	K02931	"RP-L5, MRPL5, rplE; large subunit ribosomal protein L5"
custom_42213_49	K02933	"RP-L6, MRPL6, rplF; large subunit ribosomal protein L6"
GAK54310.1	K02358	"tuf, TUFM; elongation factor Tu"
WP_032238732.1	K02358	"tuf, TUFM; elongation factor Tu"
custom_194819_45	K15727	"czcB, cusB, cnrB; membrane fusion protein, heavy metal efflux system"
custom_194819_44	K04751	glnB; nitrogen regulatory protein P-II 1
WP_034994456.1	K00023	phbB; acetoacetyl-CoA reductase [EC:1.1.1.36]
WP_035026050.1	K09969	"aapJ, bztA; general L-amino acid transport system substrate-binding protein"
WP_035028480.1	K01847	MUT; methylmalonyl-CoA mutase [EC:5.4.99.2]
WP_035057391.1	K13643	"iscR; Rrf2 family transcriptional regulator, iron-sulfur cluster assembly transcription factor"
WP_035639600.1	K03782	katG; catalase-peroxidase [EC:1.11.1.21]
WP_037125791.1	K07335	"bmpA, bmpB, tmpC; basic membrane protein A and related proteins"
custom_2537034_123	K02965	"RP-S19, rpsS; small subunit ribosomal protein S19"
custom_2117730_2	K00331	nuoB; NADH-quinone oxidoreductase subunit B [EC:7.1.1.2]
WP_038301439.1	K01999	livK; branched-chain amino acid transport system substrate-binding protein
custom_327849_14	K02911	"RP-L32, MRPL32, rpmF; large subunit ribosomal protein L32"
custom_2148008_36	K02909	"RP-L31, rpmE; large subunit ribosomal protein L31"
custom_2050870_31	K00053	ilvC; ketol-acid reductoisomerase [EC:1.1.1.86]
custom_967558_22	K02965	"RP-S19, rpsS; small subunit ribosomal protein S19"
WP_039138551.1	K00376	nosZ; nitrous-oxide reductase [EC:1.7.2.4]
custom_1381139_4	K01682	acnB; aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99]
WP_039311042.1	K11251	H2A; histone H2A
WP_040990149.1	K02055	ABC.SP.S; putative spermidine/putrescine transport system substrate-binding protein
custom_2101114_17	K02357	"tsf, TSFM; elongation factor Ts"
custom_198560_6	K00376	nosZ; nitrous-oxide reductase [EC:1.7.2.4]
AJP49020.1	K02876	"RP-L15, MRPL15, rplO; large subunit ribosomal protein L15"
custom_1112393_7	K01868	"TARS, thrS; threonyl-tRNA synthetase [EC:6.1.1.3]"
KJS34337.1	K01966	"PCCB, pccB; propionyl-CoA carboxylase beta chain [EC:6.4.1.3 2.1.3.15]"
KKR79619.1	K02358	"tuf, TUFM; elongation factor Tu"
WP_047194954.1	K01999	livK; branched-chain amino acid transport system substrate-binding protein
WP_047195791.1	K03286	"TC.OOP; OmpA-OmpF porin, OOP family"
WP_047563487.1	K01903	sucC; succinyl-CoA synthetase beta subunit [EC:6.2.1.5]
custom_509629_2	K01624	"FBA, fbaA; fructose-bisphosphate aldolase, class II [EC:4.1.2.13]"
WP_049725106.1	K00962	"pnp, PNPT1; polyribonucleotide nucleotidyltransferase [EC:2.7.7.8]"
custom_41555_26	K08689	"bphAa, bphA1, bphA; biphenyl 2,3-dioxygenase subunit alpha [EC:1.14.12.18]"
custom_1063_7	K02996	"RP-S9, MRPS9, rpsI; small subunit ribosomal protein S9"
custom_590544_3	K02600	nusA; transcription termination/antitermination protein NusA
WP_051566885.1	K11073	potF; putrescine transport system substrate-binding protein
WP_052233713.1	K07665	"cusR, copR, silR; two-component system, OmpR family, copper resistance phosphate regulon response regulator CusR"
WP_052433592.1	K02014	TC.FEV.OM; iron complex outermembrane recepter protein
CUI69844.1	K02469	gyrA; DNA gyrase subunit A [EC:5.6.2.2]
WP_054019971.1	K03320	"amt, AMT, MEP; ammonium transporter, Amt family"
custom_879928_5	K10001	"gltI, aatJ; glutamate/aspartate transport system substrate-binding protein"
KPJ67275.1	K04043	"dnaK, HSPA9; molecular chaperone DnaK"
custom_975190_4	K04764	"ihfA, himA; integration host factor subunit alpha"
KPK18211.1	K04078	"groES, HSPE1; chaperonin GroES"
custom_1206724_17	K07795	tctC; putative tricarboxylic transport membrane protein
WP_054537020.1	K01961	"accC; acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]"
custom_368233_4	K03744	lemA; LemA protein
KPP83694.1	K02027	ABC.MS.S; multiple sugar transport system substrate-binding protein
custom_1590508_3	K02601	nusG; transcription termination/antitermination protein NusG
WP_054620220.1	K07516	fadN; 3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]
WP_054621081.1	K11688	dctP; C4-dicarboxylate-binding protein DctP
custom_2598116_156	K08364	merP; periplasmic mercuric ion binding protein
WP_054965449.1	K00370	"narG, narZ, nxrA; nitrate reductase / nitrite oxidoreductase, alpha subunit [EC:1.7.5.1 1.7.99.-]"
WP_055037836.1	K01647	"CS, gltA; citrate synthase [EC:2.3.3.1]"
ALL65941.1	K00059	"fabG, OAR1; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]"
custom_769325_39	K13643	"iscR; Rrf2 family transcriptional regulator, iron-sulfur cluster assembly transcription factor"
WP_055898450.1	K02956	"RP-S15, MRPS15, rpsO; small subunit ribosomal protein S15"
custom_986625_124	K02926	"RP-L4, MRPL4, rplD; large subunit ribosomal protein L4"
custom_986625_119	K02982	"RP-S3, rpsC; small subunit ribosomal protein S3"
custom_2580233_2	K03704	cspA; cold shock protein
custom_2184873_59	K00626	"E2.3.1.9, atoB; acetyl-CoA C-acetyltransferase [EC:2.3.1.9]"
custom_2245854_59	K11076	potG; putrescine transport system ATP-binding protein
custom_2375629_3	K02950	"RP-S12, MRPS12, rpsL; small subunit ribosomal protein S12"
custom_1437141_386	K02986	"RP-S4, rpsD; small subunit ribosomal protein S4"
custom_1527873_21	K02014	TC.FEV.OM; iron complex outermembrane recepter protein
custom_2412884_36	K02406	fliC; flagellin
WP_056435539.1	K03231	EEF1A; elongation factor 1-alpha
WP_056668985.1	K01624	"FBA, fbaA; fructose-bisphosphate aldolase, class II [EC:4.1.2.13]"
WP_056876889.1	K02474	wbpO; UDP-N-acetyl-D-galactosamine dehydrogenase [EC:1.1.1.-]
custom_1478983_11	K00031	"IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]"
WP_056930686.1	K01652	"E2.2.1.6L, ilvB, ilvG, ilvI; acetolactate synthase I/II/III large subunit [EC:2.2.1.6]"
WP_058641003.1	K11900	impC; type VI secretion system protein ImpC
custom_2610906_2	K00239	"sdhA, frdA; succinate dehydrogenase / fumarate reductase, flavoprotein subunit [EC:1.3.5.1 1.3.5.4]"
WP_058936400.1	K03594	bfr; bacterioferritin [EC:1.16.3.1]
WP_059417590.1	K00973	"rfbA, rmlA, rffH; glucose-1-phosphate thymidylyltransferase [EC:2.7.7.24]"
WP_059423957.1	K06207	"typA, bipA; GTP-binding protein"
custom_1079355_15	K02358	"tuf, TUFM; elongation factor Tu"
KXK22029.1	K02058	ABC.SS.S; simple sugar transport system substrate-binding protein
custom_2637786_6	K03671	trxA; thioredoxin 1
custom_2146791_12	K00134	"GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]"
custom_1990642_27	K02355	"fusA, GFM, EFG; elongation factor G"
custom_1900252_9	K02669	pilT; twitching motility protein PilT
custom_1435653_134	K03768	"PPIB, ppiB; peptidyl-prolyl cis-trans isomerase B (cyclophilin B) [EC:5.2.1.8]"
custom_302090_5	K02863	"RP-L1, MRPL1, rplA; large subunit ribosomal protein L1"
custom_1071419_21	K02897	"RP-L25, rplY; large subunit ribosomal protein L25"
custom_1585247_57	K03673	dsbA; protein dithiol oxidoreductase (disulfide-forming) [EC:1.8.4.15]
custom_739647_4	K02338	dnaN; DNA polymerase III subunit beta [EC:2.7.7.7]
custom_2057606_13	K01802	E5.2.1.8; peptidylprolyl isomerase [EC:5.2.1.8]
custom_2245854_113	K01283	"ACE, CD143; peptidyl-dipeptidase A [EC:3.4.15.1]"
WP_062357469.1	K15987	hppA; K(+)-stimulated pyrophosphate-energized sodium pump
custom_2418293_61	K03496	"parA, soj; chromosome partitioning protein"
custom_2418293_176	K03559	exbD; biopolymer transport protein ExbD
WP_062405176.1	K00600	"glyA, SHMT; glycine hydroxymethyltransferase [EC:2.1.2.1]"
KYP10855.1	K01638	"aceB, glcB; malate synthase [EC:2.3.3.9]"
custom_2029332_179	K03561	exbB; biopolymer transport protein ExbB
custom_997779_4	K02670	pilU; twitching motility protein PilU
SBT09923.1	K02666	pilQ; type IV pilus assembly protein PilQ
SBT05161.1	K03286	"TC.OOP; OmpA-OmpF porin, OOP family"
custom_1762757_4	K03640	pal; peptidoglycan-associated lipoprotein
custom_2005529_3	K02886	"RP-L2, MRPL2, rplB; large subunit ribosomal protein L2"
custom_1798434_17	K14393	actP; cation/acetate symporter
custom_1511400_24	K00413	"CYC1, CYT1, petC; ubiquinol-cytochrome c reductase cytochrome c1 subunit"
custom_159679_22	K18139	"oprM, emhC, ttgC, cusC, adeK, smeF, mtrE, cmeC, gesC; outer membrane protein, multidrug efflux system"
custom_1819224_44	K02014	TC.FEV.OM; iron complex outermembrane recepter protein
custom_1256613_6	K00611	"OTC, argF, argI; ornithine carbamoyltransferase [EC:2.1.3.3]"
ANT95941.1	K08252	E2.7.10.1; receptor protein-tyrosine kinase [EC:2.7.10.1]
custom_1432210_8	K02003	ABC.CD.A; putative ABC transport system ATP-binding protein
custom_1883791_3	K03782	katG; catalase-peroxidase [EC:1.11.1.21]
WP_065976566.1	K09007	folE2; GTP cyclohydrolase IB [EC:3.5.4.16]
WP_066101962.1	K04043	"dnaK, HSPA9; molecular chaperone DnaK"
WP_066537912.1	K03711	"fur, zur, furB; Fur family transcriptional regulator, ferric uptake regulator"
custom_819813_2	K01624	"FBA, fbaA; fructose-bisphosphate aldolase, class II [EC:4.1.2.13]"
WP_066879209.1	K03545	tig; trigger factor
WP_066880582.1	K04087	hflC; modulator of FtsH protease HflC
custom_998993_11	K03686	dnaJ; molecular chaperone DnaJ
WP_067067092.1	K02956	"RP-S15, MRPS15, rpsO; small subunit ribosomal protein S15"
custom_715418_42	K01966	"PCCB, pccB; propionyl-CoA carboxylase beta chain [EC:6.4.1.3 2.1.3.15]"
WP_068491810.1	K15864	nirS; nitrite reductase (NO-forming) / hydroxylamine reductase [EC:1.7.2.1 1.7.99.1]
WP_068807856.1	K06415	spoVR; stage V sporulation protein R
custom_461493_4	K03040	rpoA; DNA-directed RNA polymerase subunit alpha [EC:2.7.7.6]
custom_2130082_8	K00658	"DLST, sucB; 2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61]"
custom_1804811_9	K03738	aor; aldehyde:ferredoxin oxidoreductase [EC:1.2.7.5]
custom_1231821_8	K01007	"pps, ppsA; pyruvate, water dikinase [EC:2.7.9.2]"
custom_2082819_19	K02879	"RP-L17, MRPL17, rplQ; large subunit ribosomal protein L17"
ODS97385.1	K00962	"pnp, PNPT1; polyribonucleotide nucleotidyltransferase [EC:2.7.7.8]"
custom_1082409_13	K01903	sucC; succinyl-CoA synthetase beta subunit [EC:6.2.1.5]
ODT36978.1	K00568	ubiG; 2-polyprenyl-6-hydroxyphenyl methylase / 3-demethylubiquinone-9 3-methyltransferase [EC:2.1.1.222 2.1.1.64]
ODU09514.1	K02666	pilQ; type IV pilus assembly protein PilQ
custom_1818087_3	K01999	livK; branched-chain amino acid transport system substrate-binding protein
custom_2553183_10	K09137	K09137; uncharacterized protein
ODU56528.1	K15864	nirS; nitrite reductase (NO-forming) / hydroxylamine reductase [EC:1.7.2.1 1.7.99.1]
ODU89612.1	K01955	"carB, CPA2; carbamoyl-phosphate synthase large subunit [EC:6.3.5.5]"
SCN46548.1	K05863	"SLC25A4S, ANT; solute carrier family 25 (mitochondrial adenine nucleotide translocator), member 4/5/6/31"
OFZ45950.1	K04077	"groEL, HSPD1; chaperonin GroEL"
OFZ98106.1	K02933	"RP-L6, MRPL6, rplF; large subunit ribosomal protein L6"
OGA00885.1	K10004	"gltL, aatP; glutamate/aspartate transport system ATP-binding protein [EC:7.4.2.1]"
OGA39637.1	K06134	COQ7; 3-demethoxyubiquinol 3-hydroxylase [EC:1.14.99.60]
OGA99995.1	K02939	"RP-L9, MRPL9, rplI; large subunit ribosomal protein L9"
custom_2076528_3	K02906	"RP-L3, MRPL3, rplC; large subunit ribosomal protein L3"
OGB49860.1	K00012	"UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]"
OGT04027.1	K00324	pntA; H+-translocating NAD(P) transhydrogenase subunit alpha [EC:1.6.1.2 7.1.1.1]
custom_369603_6	K02886	"RP-L2, MRPL2, rplB; large subunit ribosomal protein L2"
custom_2037356_2	K04047	dps; starvation-inducible DNA-binding protein
OHC63200.1	K01895	"ACSS1_2, acs; acetyl-CoA synthetase [EC:6.2.1.1]"
custom_1625017_15	K09903	pyrH; uridylate kinase [EC:2.7.4.22]
custom_2030068_2	K04751	glnB; nitrogen regulatory protein P-II 1
custom_1377819_4	K02014	TC.FEV.OM; iron complex outermembrane recepter protein
custom_1435653_154	K02931	"RP-L5, MRPL5, rplE; large subunit ribosomal protein L5"
custom_2413465_61	K03704	cspA; cold shock protein
SFN35905.1	K00266	gltD; glutamate synthase (NADPH) small chain [EC:1.4.1.13]
custom_1112671_28	K02945	"RP-S1, rpsA; small subunit ribosomal protein S1"
custom_238726_6	K02874	"RP-L14, MRPL14, rplN; large subunit ribosomal protein L14"
OIP08730.1	K01999	livK; branched-chain amino acid transport system substrate-binding protein
OIP11335.1	K02355	"fusA, GFM, EFG; elongation factor G"
OIP12852.1	K07644	"cusS, copS, silS; two-component system, OmpR family, heavy metal sensor histidine kinase CusS [EC:2.7.13.3]"
OIP82009.1	K01624	"FBA, fbaA; fructose-bisphosphate aldolase, class II [EC:4.1.2.13]"
OJU35152.1	K10543	xylF; D-xylose transport system substrate-binding protein
OJU56235.1	K03169	topB; DNA topoisomerase III [EC:5.6.2.1]
OJV06351.1	K00031	"IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]"
custom_407550_39	K02878	"RP-L16, MRPL16, rplP; large subunit ribosomal protein L16"
custom_1464236_16	K00376	nosZ; nitrous-oxide reductase [EC:1.7.2.4]
custom_1447722_2	K00789	metK; S-adenosylmethionine synthetase [EC:2.5.1.6]
OJW50701.1	K00059	"fabG, OAR1; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]"
OJW51302.1	K18138	"acrB, mexB, adeJ, smeE, mtrD, cmeB; multidrug efflux pump"
custom_1943074_77	K01555	"FAH, fahA; fumarylacetoacetase [EC:3.7.1.2]"
custom_769325_41	K00832	tyrB; aromatic-amino-acid transaminase [EC:2.6.1.57]
OJY12707.1	K11893	"impJ, vasE; type VI secretion system protein ImpJ"
OJY87033.1	K00370	"narG, narZ, nxrA; nitrate reductase / nitrite oxidoreductase, alpha subunit [EC:1.7.5.1 1.7.99.-]"
custom_2474004_13	K02111	"ATPF1A, atpA; F-type H+/Na+-transporting ATPase subunit alpha [EC:7.1.2.2 7.2.2.1]"
custom_1717440_27	K00940	"ndk, NME; nucleoside-diphosphate kinase [EC:2.7.4.6]"
custom_678611_9	K10439	rbsB; ribose transport system substrate-binding protein
WP_073040878.1	K00376	nosZ; nitrous-oxide reductase [EC:1.7.2.4]
custom_396187_347	K03046	rpoC; DNA-directed RNA polymerase subunit beta' [EC:2.7.7.6]
OLC80180.1	K04077	"groEL, HSPD1; chaperonin GroEL"
custom_2205267_84	K02939	"RP-L9, MRPL9, rplI; large subunit ribosomal protein L9"
custom_194377_2	K00208	fabI; enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10]
custom_137061_3	K00951	relA; GTP pyrophosphokinase [EC:2.7.6.5]
custom_220315_3	K01092	"E3.1.3.25, IMPA, suhB; myo-inositol-1(or 4)-monophosphatase [EC:3.1.3.25]"
WP_075187930.1	K01647	"CS, gltA; citrate synthase [EC:2.3.3.1]"
SIS39776.1	K02036	pstB; phosphate transport system ATP-binding protein [EC:7.3.2.1]
custom_1349399_13	K01908	"ACSS3, prpE; propionyl-CoA synthetase [EC:6.2.1.17]"
custom_2508939_6	K14260	alaA; alanine-synthesizing transaminase [EC:2.6.1.66 2.6.1.2]
WP_076910342.1	K00658	"DLST, sucB; 2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61]"
custom_284519_241	K02670	pilU; twitching motility protein PilU
custom_1162470_79	K02280	"cpaC, rcpA; pilus assembly protein CpaC"
custom_112382_2	K03386	"PRDX2_4, ahpC; peroxiredoxin (alkyl hydroperoxide reductase subunit C) [EC:1.11.1.15]"
custom_828012_3	K02876	"RP-L15, MRPL15, rplO; large subunit ribosomal protein L15"
custom_273842_2	K02556	motA; chemotaxis protein MotA
custom_2061887_3	K06187	recR; recombination protein RecR
custom_820556_9	K03500	"rsmB, sun; 16S rRNA (cytosine967-C5)-methyltransferase [EC:2.1.1.176]"
custom_2509991_2	K02291	crtB; 15-cis-phytoene synthase [EC:2.5.1.32]
WP_079433083.1	K16087	"TC.FEV.OM3, tbpA, hemR, lbpA, hpuB, bhuR, hugA, hmbR; hemoglobin/transferrin/lactoferrin receptor protein"
custom_1548022_1	K00404	ccoN; cytochrome c oxidase cbb3-type subunit I [EC:7.1.1.9]
WP_079433093.1	K00406	ccoP; cytochrome c oxidase cbb3-type subunit III
custom_1882230_2	K00982	glnE; [glutamine synthetase] adenylyltransferase / [glutamine synthetase]-adenylyl-L-tyrosine phosphorylase [EC:2.7.7.42 2.7.7.89]
