protein	IPR	GO	Pfam	Interproscan_annotation	
PZP29908.1	IPR001247	-	PF01138	"Exoribonuclease, phosphorolytic domain 1"	Reactome: R-HSA-380994|Reactome: R-HSA-429958|Reactome: R-HSA-450385|Reactome: R-HSA-450513|Reactome: R-HSA-450604|Reactome: R-HSA-6791226
PZP29908.1	IPR015847	-	PF03725	"Exoribonuclease, phosphorolytic domain 2"	Reactome: R-HSA-380994|Reactome: R-HSA-429958|Reactome: R-HSA-450385|Reactome: R-HSA-450513|Reactome: R-HSA-450604|Reactome: R-HSA-6791226
PZP29908.1	IPR015847	-	PF03725	"Exoribonuclease, phosphorolytic domain 2"	Reactome: R-HSA-380994|Reactome: R-HSA-429958|Reactome: R-HSA-450385|Reactome: R-HSA-450513|Reactome: R-HSA-450604|Reactome: R-HSA-6791226
PZP29908.1	IPR004088	GO:0003723	PF00013	"K Homology domain, type 1"	
WP_091139055.1	IPR008283	GO:0004177|GO:0006508	PF02789	"Peptidase M17, leucyl aminopeptidase, N-terminal"	KEGG: 00480+3.4.11.1
WP_091139055.1	IPR000819	GO:0004177|GO:0006508	PF00883	"Peptidase M17, leucyl aminopeptidase, C-terminal"	KEGG: 00480+3.4.11.1
WP_110020621.1	IPR020616	GO:0016747	PF00108	"Thiolase, N-terminal"	
WP_110020621.1	IPR020617	GO:0016747	PF02803	"Thiolase, C-terminal"	
custom_2149066_1	IPR032781	-	PF12848	ABC-transporter extension domain	
custom_2149066_1	IPR032524	GO:0003677	PF16326	"ABC transporter Uup, C-terminal"	
custom_2149066_1	IPR003439	GO:0005524|GO:0016887	PF00005	ABC transporter-like	
custom_2149066_1	IPR003439	GO:0005524|GO:0016887	PF00005	ABC transporter-like	
EDZ98428.1	IPR000685	GO:0000287	PF00016	"Ribulose bisphosphate carboxylase, large subunit, C-terminal"	KEGG: 00630+4.1.1.39|KEGG: 00710+4.1.1.39|MetaCyc: PWY-5532|MetaCyc: PWY-5723
EDZ98428.1	IPR017443	GO:0015977|GO:0016984	PF02788	"Ribulose bisphosphate carboxylase, large subunit, ferrodoxin-like N-terminal"	KEGG: 00630+4.1.1.39|KEGG: 00710+4.1.1.39|MetaCyc: PWY-5532|MetaCyc: PWY-5723
custom_1168685_303	IPR000119	GO:0003677	PF00216	Histone-like DNA-binding protein	
custom_707695_2	IPR003121	GO:0005515	PF02201	SWIB/MDM2 domain	
custom_1891985_27	IPR002898	-	PF01618	MotA/TolQ/ExbB proton channel	
PCI53422.1	IPR020581	GO:0004375|GO:0006546|GO:0055114	PF02347	Glycine cleavage system P protein	KEGG: 00260+1.4.4.2|Reactome: R-HSA-6783984
PCI53422.1	IPR020581	GO:0004375|GO:0006546|GO:0055114	PF02347	Glycine cleavage system P protein	KEGG: 00260+1.4.4.2|Reactome: R-HSA-6783984
custom_1950168_1	IPR001684	GO:0003735|GO:0005840|GO:0006412	PF01016	Ribosomal protein L27	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276
custom_2082819_27	IPR016082	-	PF00327	"Ribosomal protein L30, ferredoxin-like fold domain"	
custom_570330_21	IPR006171	-	PF01751	TOPRIM  domain	
custom_570330_21	IPR025589	-	PF13342	Topoisomerase C-terminal repeat	
custom_570330_21	IPR025589	-	PF13342	Topoisomerase C-terminal repeat	
custom_570330_21	IPR013497	GO:0003677|GO:0003916|GO:0006265	PF01131	"DNA topoisomerase, type IA, central"	
custom_1852256_8	IPR007642	GO:0003677|GO:0003899|GO:0006351	PF04561	"RNA polymerase Rpb2, domain 2"	
custom_1852256_8	IPR007642	GO:0003677|GO:0003899|GO:0006351	PF04561	"RNA polymerase Rpb2, domain 2"	
custom_1852256_8	IPR007641	GO:0003677|GO:0003899|GO:0006351	PF04560	"RNA polymerase Rpb2, domain 7"	
custom_1852256_8	IPR007120	GO:0003677|GO:0003899|GO:0006351	PF00562	"DNA-directed RNA polymerase, subunit 2, hybrid-binding domain"	
custom_1852256_8	IPR019462	GO:0003899|GO:0006351	PF10385	"DNA-directed RNA polymerase, beta subunit, external 1 domain"	
custom_1852256_8	IPR007645	GO:0003677|GO:0003899|GO:0006351	PF04565	"RNA polymerase Rpb2, domain 3"	
custom_1852256_8	IPR007644	GO:0003677|GO:0003899|GO:0006351	PF04563	"RNA polymerase, beta subunit, protrusion"	
custom_1820328_9	IPR000795	GO:0003924|GO:0005525	PF00009	"Transcription factor, GTP-binding domain"	
custom_1820328_9	IPR004161	GO:0005525	PF03144	"Translation elongation factor EFTu-like, domain 2"	
custom_1820328_9	IPR004160	-	PF03143	"Translation elongation factor EFTu/EF1A, C-terminal"	
custom_383372_2	-	-	PF14450	-	
custom_383372_2	-	-	PF14450	-	
custom_383372_2	IPR003494	GO:0005515|GO:0051301	PF02491	SHS2 domain inserted in FtsA	
custom_1907597_66	IPR006059	-	PF13416	Bacterial extracellular solute-binding protein	
TAJ32927.1	IPR002423	GO:0005524	PF00118	Chaperonin Cpn60/TCP-1 family	
KGQ25187.1	IPR004160	-	PF03143	"Translation elongation factor EFTu/EF1A, C-terminal"	
KGQ25187.1	IPR004161	GO:0005525	PF03144	"Translation elongation factor EFTu-like, domain 2"	
custom_358444_16	IPR029095	-	PF13675	"NarX-like, N-terminal"	
custom_358444_16	IPR004089	GO:0007165|GO:0016020	PF00015	Methyl-accepting chemotaxis protein (MCP) signalling domain	
custom_2086024_3	IPR005126	-	PF03264	"NapC/NirT cytochrome c, N-terminal"	
WP_079435443.1	IPR033186	-	PF05872	Helicase HerA-like C-terminal	
custom_381164_6	IPR002130	GO:0000413|GO:0003755	PF00160	Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain	
custom_695553_3	IPR020069	-	PF03948	"Ribosomal protein L9, C-terminal"	
custom_695553_3	IPR020070	-	PF01281	"Ribosomal protein L9, N-terminal"	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276
custom_374984_2	IPR003423	GO:0015562|GO:0055085	PF02321	Outer membrane efflux protein	
custom_374984_2	IPR003423	GO:0015562|GO:0055085	PF02321	Outer membrane efflux protein	
custom_103292_8	IPR007630	GO:0003700|GO:0006352|GO:0006355	PF04545	RNA polymerase sigma-70 region 4	
custom_103292_8	IPR007624	GO:0003700|GO:0006352|GO:0006355	PF04539	RNA polymerase sigma-70 region 3	
custom_103292_8	IPR007127	GO:0003677|GO:0006355	PF03979	"RNA polymerase sigma factor 70, region 1.1"	
custom_103292_8	IPR007631	GO:0003677|GO:0003700|GO:0006352|GO:0006355|GO:0016987	PF04546	"RNA polymerase sigma factor 70, non-essential domain"	
custom_103292_8	IPR007627	GO:0003700|GO:0006352|GO:0006355	PF04542	RNA polymerase sigma-70 region 2	
custom_103292_8	IPR009042	GO:0003677|GO:0003700|GO:0006352|GO:0006355|GO:0016987	PF00140	RNA polymerase sigma-70 region 1.2	
PKO27499.1	IPR012336	-	PF13192	Thioredoxin-like fold	
PKO27499.1	IPR023753	GO:0016491|GO:0055114	PF07992	FAD/NAD(P)-binding domain	
WP_024587213.1	IPR025110	-	PF13193	"AMP-binding enzyme, C-terminal domain"	
WP_024587213.1	IPR000873	GO:0003824	PF00501	AMP-dependent synthetase/ligase	
custom_301458_5	IPR019832	GO:0004784|GO:0006801|GO:0046872|GO:0055114	PF02777	"Manganese/iron superoxide dismutase, C-terminal"	MetaCyc: PWY-6854|Reactome: R-HSA-2151201|Reactome: R-HSA-3299685|Reactome: R-HSA-8862803|Reactome: R-HSA-8950505|Reactome: R-HSA-9615017
custom_301458_5	IPR019831	GO:0004784|GO:0006801|GO:0046872|GO:0055114	PF00081	"Manganese/iron superoxide dismutase, N-terminal"	MetaCyc: PWY-6854|Reactome: R-HSA-2151201|Reactome: R-HSA-3299685|Reactome: R-HSA-8862803|Reactome: R-HSA-8950505|Reactome: R-HSA-9615017
custom_1467105_2	IPR019831	GO:0004784|GO:0006801|GO:0046872|GO:0055114	PF00081	"Manganese/iron superoxide dismutase, N-terminal"	MetaCyc: PWY-6854|Reactome: R-HSA-2151201|Reactome: R-HSA-3299685|Reactome: R-HSA-8862803|Reactome: R-HSA-8950505|Reactome: R-HSA-9615017
custom_1467105_2	IPR019832	GO:0004784|GO:0006801|GO:0046872|GO:0055114	PF02777	"Manganese/iron superoxide dismutase, C-terminal"	MetaCyc: PWY-6854|Reactome: R-HSA-2151201|Reactome: R-HSA-3299685|Reactome: R-HSA-8862803|Reactome: R-HSA-8950505|Reactome: R-HSA-9615017
GAB48188.1	IPR034733	-	PF01039	Acetyl-CoA carboxylase	MetaCyc: PWY-4381|MetaCyc: PWY-5743|MetaCyc: PWY-5744|MetaCyc: PWY-5789|MetaCyc: PWY-6722|Reactome: R-HSA-196780
custom_2184937_67	IPR001087	GO:0016788	PF00657	GDSL lipase/esterase	
custom_2184937_67	IPR005546	-	PF03797	Autotransporter beta-domain	
custom_2246026_9	IPR006685	GO:0016020|GO:0055085	PF00924	Mechanosensitive ion channel MscS	
EXI66301.1	IPR033900	GO:0015288|GO:0016020	PF13609	"Porin domain, Gram-negative type"	
custom_1252224_2	IPR003953	-	PF00890	"FAD-dependent oxidoreductase 2, FAD binding domain"	Reactome: R-HSA-611105|Reactome: R-HSA-71403
custom_1252224_2	IPR015939	GO:0016491|GO:0055114	PF02910	"Fumarate reductase/succinate dehydrogenase flavoprotein-like, C-terminal"	Reactome: R-HSA-611105|Reactome: R-HSA-71403
custom_592104_13	IPR002583	GO:0003723|GO:0003735|GO:0005840|GO:0006412	PF01649	Ribosomal protein S20	
OGA32703.1	IPR028081	-	PF13458	Leucine-binding protein domain	
SMB24569.1	IPR001465	GO:0004474|GO:0006097	PF01274	Malate synthase	KEGG: 00620+2.3.3.9|KEGG: 00630+2.3.3.9|MetaCyc: PWY-6969|MetaCyc: PWY-7118|MetaCyc: PWY-7294|MetaCyc: PWY-7295|MetaCyc: PWY-7854
custom_322002_2	IPR005822	GO:0003735|GO:0005840|GO:0006412	PF00572	Ribosomal protein L13	
WP_130459456.1	IPR002932	GO:0006537|GO:0015930|GO:0016638|GO:0055114	PF01645	Glutamate synthase domain	
WP_130459456.1	IPR006982	GO:0006807|GO:0015930|GO:0055114	PF04898	"Glutamate synthase, central-N"	
WP_130459456.1	IPR002489	GO:0016491|GO:0055114	PF01493	"Glutamate synthase, alpha subunit, C-terminal"	
WP_130459456.1	IPR017932	-	PF00310	Glutamine amidotransferase type 2 domain	
custom_1074337_6	IPR002146	GO:0015078|GO:0015986|GO:0045263	PF00430	"ATP synthase, F0 complex, subunit b/b', bacterial/chloroplast"	
custom_1010621_30	IPR018389	GO:0055085	PF03480	TRAP transporter solute receptor DctP/TeaA	
WP_076094803.1	IPR013126	-	PF00012	Heat shock protein 70 family	Reactome: R-HSA-3371453
custom_1557122_2	IPR023753	GO:0016491|GO:0055114	PF07992	FAD/NAD(P)-binding domain	
custom_1557122_2	IPR004099	GO:0045454|GO:0055114	PF02852	"Pyridine nucleotide-disulphide oxidoreductase, dimerisation domain"	
custom_1557122_2	IPR000089	-	PF00364	Biotin/lipoyl attachment	
custom_1250882_4	IPR028909	GO:0005840	PF00829	Ribosomal protein L21-like	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276
custom_145868_86	IPR002146	GO:0015078|GO:0015986|GO:0045263	PF00430	"ATP synthase, F0 complex, subunit b/b', bacterial/chloroplast"	
custom_738724_16	IPR000711	GO:0015986|GO:0046933	PF00213	"ATPase, OSCP/delta subunit"	Reactome: R-HSA-163210|Reactome: R-HSA-8949613
custom_1975239_33	IPR002585	GO:0009055|GO:0019646|GO:0070069	PF01654	Cytochrome ubiquinol oxidase subunit 1	
WP_018607106.1	IPR004588	GO:0016114|GO:0046429|GO:0055114	PF04551	"4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase, bacterial-type"	KEGG: 00900+1.17.7.3
WP_067758259.1	IPR000795	GO:0003924|GO:0005525	PF00009	"Transcription factor, GTP-binding domain"	
WP_067758259.1	IPR000640	-	PF00679	"Elongation factor EFG, domain V-like"	
WP_067758259.1	IPR041095	-	PF14492	"Elongation Factor G, domain II"	
WP_067758259.1	IPR005517	GO:0005525	PF03764	"Translation elongation factor EFG/EF2, domain IV"	
WP_067758259.1	IPR004161	GO:0005525	PF03144	"Translation elongation factor EFTu-like, domain 2"	
KKR79619.1	IPR004160	-	PF03143	"Translation elongation factor EFTu/EF1A, C-terminal"	
KKR79619.1	IPR000795	GO:0003924|GO:0005525	PF00009	"Transcription factor, GTP-binding domain"	
KKR79619.1	IPR004161	GO:0005525	PF03144	"Translation elongation factor EFTu-like, domain 2"	
WP_092027985.1	IPR000194	GO:0005524	PF00006	"ATPase, F1/V1/A1 complex, alpha/beta subunit, nucleotide-binding domain"	KEGG: 00190+7.1.2.2|KEGG: 00195+7.1.2.2|MetaCyc: PWY-7980
WP_092027985.1	IPR004100	GO:0046034|GO:1902600	PF02874	"ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain"	KEGG: 00190+7.1.2.2|KEGG: 00195+7.1.2.2|MetaCyc: PWY-7980
WP_095523440.1	IPR031717	-	PF16870	"Multifunctional 2-oxoglutarate metabolism enzyme, C-terminal"	KEGG: 00020+1.2.4.2|KEGG: 00310+1.2.4.2|KEGG: 00380+1.2.4.2|MetaCyc: PWY-5084
WP_095523440.1	IPR001017	GO:0016624	PF00676	"Dehydrogenase, E1 component"	Reactome: R-HSA-389661
WP_095523440.1	IPR005475	-	PF02779	"Transketolase-like, pyrimidine-binding domain"	
WP_095523440.1	IPR032106	-	PF16078	"2-oxoglutarate dehydrogenase E1 component, N-terminal domain"	KEGG: 00020+1.2.4.2|KEGG: 00310+1.2.4.2|KEGG: 00380+1.2.4.2|MetaCyc: PWY-5084
ACY31769.1	IPR005106	GO:0016491|GO:0050661|GO:0055114	PF03447	"Aspartate/homoserine dehydrogenase, NAD-binding"	
ACY31769.1	IPR001342	GO:0006520|GO:0055114	PF00742	"Homoserine dehydrogenase, catalytic"	KEGG: 00260+1.1.1.3|KEGG: 00270+1.1.1.3|KEGG: 00300+1.1.1.3
ACY31769.1	IPR002912	-	PF01842	ACT domain	
custom_2283038_10	IPR000073	-	PF00561	Alpha/beta hydrolase fold-1	
custom_2283038_10	IPR010941	GO:0042619	PF07167	"Poly-beta-hydroxybutyrate polymerase, N-terminal domain"	
WP_079433031.1	IPR018389	GO:0055085	PF03480	TRAP transporter solute receptor DctP/TeaA	
WP_079433031.1	IPR019546	-	PF10518	"Twin-arginine translocation pathway, signal sequence, bacterial/archaeal"	
custom_2016556_8	IPR013126	-	PF00012	Heat shock protein 70 family	Reactome: R-HSA-3371453
custom_2348587_14	IPR003251	GO:0016491|GO:0046872|GO:0055114	PF02915	Rubrerythrin	
custom_1759693_1	IPR008331	GO:0006879|GO:0008199	PF00210	Ferritin/DPS protein domain	
custom_1129766_14	IPR010723	-	PF06969	"HemN, C-terminal"	
custom_1129766_14	IPR007197	GO:0003824|GO:0051536	PF04055	Radical SAM	
custom_110881_38	IPR016082	-	PF00327	"Ribosomal protein L30, ferredoxin-like fold domain"	
OQW89224.1	IPR000795	GO:0003924|GO:0005525	PF00009	"Transcription factor, GTP-binding domain"	
custom_837979_2	IPR001135	GO:0016651|GO:0048038|GO:0051287|GO:0055114	PF00346	"NADH-quinone oxidoreductase, subunit D"	Reactome: R-HSA-611105|Reactome: R-HSA-6799198
WP_038304811.1	IPR002423	GO:0005524	PF00118	Chaperonin Cpn60/TCP-1 family	
RTL37468.1	IPR019752	GO:0016903|GO:0055114	PF01558	"Pyruvate/ketoisovalerate oxidoreductase, catalytic domain"	
RMH20696.1	IPR000573	-	PF00694	"Aconitase A/isopropylmalate dehydratase small subunit, swivel domain"	KEGG: 00290+4.2.1.33
custom_2059775_19	IPR005017	-	PF03349	Outer membrane protein transport protein (OMPP1/FadL/TodX)	
custom_1399705_35	IPR033900	GO:0015288|GO:0016020	PF13609	"Porin domain, Gram-negative type"	
custom_1855743_10	IPR021131	-	PF00828	Ribosomal protein L18e/L15P	
custom_2415426_3	IPR008331	GO:0006879|GO:0008199	PF00210	Ferritin/DPS protein domain	
ACI92254.1	-	-	PF13343	-	
custom_1522617_1	IPR023753	GO:0016491|GO:0055114	PF07992	FAD/NAD(P)-binding domain	
custom_1522617_1	IPR004099	GO:0045454|GO:0055114	PF02852	"Pyridine nucleotide-disulphide oxidoreductase, dimerisation domain"	
custom_1522617_1	IPR000089	-	PF00364	Biotin/lipoyl attachment	
WP_079436087.1	IPR024977	-	PF12894	"Anaphase-promoting complex subunit 4, WD40 domain"	
WP_079436087.1	IPR001680	GO:0005515	PF00400	WD40 repeat	
WP_079436087.1	IPR001680	GO:0005515	PF00400	WD40 repeat	
WP_079436087.1	IPR001680	GO:0005515	PF00400	WD40 repeat	
WP_079436087.1	IPR001680	GO:0005515	PF00400	WD40 repeat	
custom_1726764_80	IPR000506	GO:0004455|GO:0009082|GO:0055114	PF01450	"Ketol-acid reductoisomerase, C-terminal"	KEGG: 00290+1.1.1.86|KEGG: 00770+1.1.1.86|MetaCyc: PWY-5103|MetaCyc: PWY-7111
custom_1726764_80	IPR013116	-	PF07991	"Ketol-acid reductoisomerase, N-terminal"	KEGG: 00290+1.1.1.86|KEGG: 00770+1.1.1.86|MetaCyc: PWY-5103|MetaCyc: PWY-7111
ABB07102.1	IPR023753	GO:0016491|GO:0055114	PF07992	FAD/NAD(P)-binding domain	
ABB07102.1	IPR028261	-	PF14691	Dihydroprymidine dehydrogenase domain II	Reactome: R-HSA-73621
WP_117609169.1	IPR006665	-	PF00691	OmpA-like domain	
custom_1461972_28	IPR001036	GO:0016020|GO:0022857|GO:0055085	PF00873	Acriflavin resistance protein	
custom_1082409_13	IPR013650	-	PF08442	"ATP-grasp fold, succinyl-CoA synthetase-type"	KEGG: 00020+6.2.1.5|KEGG: 00640+6.2.1.5|KEGG: 00660+6.2.1.5|KEGG: 00720+6.2.1.5|MetaCyc: PWY-5392|MetaCyc: PWY-5537|MetaCyc: PWY-5538|MetaCyc: PWY-5690|MetaCyc: PWY-5913|MetaCyc: PWY-6728|MetaCyc: PWY-6969|MetaCyc: PWY-7384|Reactome: R-HSA-71403
custom_1082409_13	IPR005811	GO:0003824	PF00549	ATP-citrate lyase/succinyl-CoA ligase	KEGG: 00020+6.2.1.5|KEGG: 00640+6.2.1.5|KEGG: 00660+6.2.1.5|KEGG: 00720+6.2.1.5|MetaCyc: PWY-5392|MetaCyc: PWY-5537|MetaCyc: PWY-5538|MetaCyc: PWY-5690|MetaCyc: PWY-5913|MetaCyc: PWY-6728|MetaCyc: PWY-6969|MetaCyc: PWY-7384
custom_1187647_5	IPR002310	GO:0000166|GO:0004820|GO:0005524|GO:0005737|GO:0006426	PF02091	"Glycine-tRNA ligase, alpha subunit"	KEGG: 00970+6.1.1.14
custom_1948238_1	IPR000685	GO:0000287	PF00016	"Ribulose bisphosphate carboxylase, large subunit, C-terminal"	KEGG: 00630+4.1.1.39|KEGG: 00710+4.1.1.39|MetaCyc: PWY-5532|MetaCyc: PWY-5723
custom_2424157_1	IPR005017	-	PF03349	Outer membrane protein transport protein (OMPP1/FadL/TodX)	
WP_078121737.1	IPR006982	GO:0006807|GO:0015930|GO:0055114	PF04898	"Glutamate synthase, central-N"	
WP_078121737.1	IPR017932	-	PF00310	Glutamine amidotransferase type 2 domain	
WP_078121737.1	IPR002932	GO:0006537|GO:0015930|GO:0016638|GO:0055114	PF01645	Glutamate synthase domain	
WP_078121737.1	IPR002489	GO:0016491|GO:0055114	PF01493	"Glutamate synthase, alpha subunit, C-terminal"	
custom_769325_38	IPR000192	-	PF00266	Aminotransferase class V domain	
custom_2525317_111	IPR002059	GO:0003676	PF00313	"Cold-shock protein, DNA-binding"	
custom_441880_20	-	-	PF06723	-	
RTL31833.1	IPR001264	-	PF00912	"Glycosyl transferase, family 51"	KEGG: 00550+2.4.1.129|MetaCyc: PWY-5265|MetaCyc: PWY-6385|MetaCyc: PWY-6470|MetaCyc: PWY-6471
custom_823132_5	IPR007390	-	PF04293	"Sporulation stage V, protein R"	
SBT07109.1	IPR000307	GO:0003735|GO:0005840|GO:0006412	PF00886	Ribosomal protein S16	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276
WP_121243068.1	-	-	PF14559	-	
WP_121456475.1	IPR003423	GO:0015562|GO:0055085	PF02321	Outer membrane efflux protein	
WP_121456475.1	IPR003423	GO:0015562|GO:0055085	PF02321	Outer membrane efflux protein	
custom_2057606_55	IPR014039	GO:0003746|GO:0006414	PF00889	"Translation elongation factor EFTs/EF1B, dimerisation"	Reactome: R-HSA-5389840
custom_1071931_3	IPR004099	GO:0045454|GO:0055114	PF02852	"Pyridine nucleotide-disulphide oxidoreductase, dimerisation domain"	
custom_1071931_3	IPR023753	GO:0016491|GO:0055114	PF07992	FAD/NAD(P)-binding domain	
TAK91950.1	IPR002020	GO:0046912	PF00285	Citrate synthase	
WP_083839744.1	IPR000531	-	PF00593	"TonB-dependent receptor-like, beta-barrel"	
WP_083839744.1	IPR012910	-	PF07715	"TonB-dependent receptor, plug domain"	
custom_2123787_1	IPR022669	GO:0003735|GO:0005840|GO:0006412	PF03947	"Ribosomal protein L2, C-terminal"	
custom_2123787_1	IPR022666	GO:0003735|GO:0005840|GO:0006412	PF00181	"Ribosomal Proteins L2, RNA binding domain"	
custom_375120_2	IPR002220	GO:0016829	PF00701	DapA-like	
custom_1073509_4	IPR003781	GO:0048037	PF02629	CoA-binding	
custom_1073509_4	IPR005811	GO:0003824	PF00549	ATP-citrate lyase/succinyl-CoA ligase	KEGG: 00020+6.2.1.5|KEGG: 00640+6.2.1.5|KEGG: 00660+6.2.1.5|KEGG: 00720+6.2.1.5|MetaCyc: PWY-5392|MetaCyc: PWY-5537|MetaCyc: PWY-5538|MetaCyc: PWY-5690|MetaCyc: PWY-5913|MetaCyc: PWY-6728|MetaCyc: PWY-6969|MetaCyc: PWY-7384
custom_2525317_71	IPR015168	-	PF09084	SsuA/THI5-like	
custom_1642538_6	IPR018445	-	PF01865	Putative phosphate transport regulator	
WP_079432735.1	IPR001638	-	PF00497	Solute-binding protein  family 3/N-terminal domain of MltF	
custom_1496672_100	IPR023562	-	PF00574	Clp protease proteolytic subunit /Translocation-enhancing protein TepA	
PSR11473.1	IPR000652	GO:0004807	PF00121	Triosephosphate isomerase	KEGG: 00010+5.3.1.1|KEGG: 00051+5.3.1.1|KEGG: 00562+5.3.1.1|KEGG: 00710+5.3.1.1|MetaCyc: PWY-1042|MetaCyc: PWY-5484|MetaCyc: PWY-6142|MetaCyc: PWY-7003|Reactome: R-HSA-70171|Reactome: R-HSA-70263
WP_028994189.1	IPR001063	GO:0003735|GO:0005840|GO:0006412	PF00237	Ribosomal protein L22/L17	
WP_027082039.1	IPR007445	-	PF04350	"Pilus assembly protein, PilO"	
custom_2498972_2	IPR004839	GO:0009058|GO:0030170	PF00155	"Aminotransferase, class I/classII"	
RTL35170.1	IPR003594	-	PF02518	Histidine kinase/HSP90-like ATPase	
RTL35170.1	IPR007890	-	PF05226	CHASE2	
OHC66317.1	IPR023584	-	PF01765	Ribosome recycling factor domain	Reactome: R-HSA-5419276
custom_450525_6	IPR003953	-	PF00890	"FAD-dependent oxidoreductase 2, FAD binding domain"	Reactome: R-HSA-611105|Reactome: R-HSA-71403
custom_450525_6	IPR015939	GO:0016491|GO:0055114	PF02910	"Fumarate reductase/succinate dehydrogenase flavoprotein-like, C-terminal"	Reactome: R-HSA-611105|Reactome: R-HSA-71403
WP_130433995.1	IPR032387	-	PF16177	"Acetyl-coenzyme A synthetase, N-terminal domain"	KEGG: 00010+6.2.1.1|KEGG: 00620+6.2.1.1|KEGG: 00630+6.2.1.1|KEGG: 00640+6.2.1.1|KEGG: 00680+6.2.1.1|KEGG: 00720+6.2.1.1|MetaCyc: PWY-5108|MetaCyc: PWY-5132|MetaCyc: PWY-5133|MetaCyc: PWY-6672|MetaCyc: PWY-7118|MetaCyc: PWY-7857
WP_130433995.1	IPR000873	GO:0003824	PF00501	AMP-dependent synthetase/ligase	
WP_130433995.1	IPR025110	-	PF13193	"AMP-binding enzyme, C-terminal domain"	
custom_2027498_8	IPR000131	GO:0015986|GO:0045261|GO:0046933	PF00231	"ATP synthase, F1 complex, gamma subunit"	Reactome: R-HSA-163210|Reactome: R-HSA-8949613
OJW49820.1	IPR000119	GO:0003677	PF00216	Histone-like DNA-binding protein	
custom_463193_4	IPR001734	GO:0016020|GO:0022857|GO:0055085	PF00474	Sodium/solute symporter	
custom_443764_3	IPR034733	-	PF01039	Acetyl-CoA carboxylase	MetaCyc: PWY-4381|MetaCyc: PWY-5743|MetaCyc: PWY-5744|MetaCyc: PWY-5789|MetaCyc: PWY-6722|Reactome: R-HSA-196780
custom_1891985_30	IPR000531	-	PF00593	"TonB-dependent receptor-like, beta-barrel"	
custom_1891985_30	IPR012910	-	PF07715	"TonB-dependent receptor, plug domain"	
custom_2437031_7	IPR004089	GO:0007165|GO:0016020	PF00015	Methyl-accepting chemotaxis protein (MCP) signalling domain	
custom_2437031_7	IPR013655	GO:0005515	PF08447	PAS fold-3	
custom_1092003_51	IPR000531	-	PF00593	"TonB-dependent receptor-like, beta-barrel"	
custom_1092003_51	IPR012910	-	PF07715	"TonB-dependent receptor, plug domain"	
custom_1625565_2	IPR001387	-	PF01381	Cro/C1-type helix-turn-helix domain	
WP_116720814.1	IPR001638	-	PF00497	Solute-binding protein  family 3/N-terminal domain of MltF	
OGJ56783.1	IPR014826	GO:0016051|GO:0016840	PF08714	Formaldehyde-activating enzyme	KEGG: 00030+4.1.2.43|KEGG: 00680+4.2.1.147+4.1.2.43|MetaCyc: PWY-1723|MetaCyc: PWY-1861|MetaCyc: PWY-7796
WP_028957231.1	IPR004160	-	PF03143	"Translation elongation factor EFTu/EF1A, C-terminal"	
WP_028957231.1	IPR004161	GO:0005525	PF03144	"Translation elongation factor EFTu-like, domain 2"	
WP_028957231.1	IPR000795	GO:0003924|GO:0005525	PF00009	"Transcription factor, GTP-binding domain"	
OJW48132.1	IPR012318	GO:0003677|GO:0006355	PF13545	Crp-type HTH domain	
OJW48132.1	IPR000595	-	PF00027	Cyclic nucleotide-binding domain	
TDP62311.1	IPR013740	GO:0016491	PF08534	Redoxin	Reactome: R-HSA-3299685|Reactome: R-HSA-5628897
WP_008943810.1	IPR002016	GO:0004601|GO:0006979|GO:0020037|GO:0055114	PF00141	Haem peroxidase	
WP_008943810.1	IPR002016	GO:0004601|GO:0006979|GO:0020037|GO:0055114	PF00141	Haem peroxidase	
ODS67218.1	IPR001638	-	PF00497	Solute-binding protein  family 3/N-terminal domain of MltF	
custom_2062739_2	IPR020828	GO:0016620|GO:0055114	PF00044	"Glyceraldehyde 3-phosphate dehydrogenase, NAD(P) binding domain"	Reactome: R-HSA-70171|Reactome: R-HSA-70263
