protein	eggNOG	eggNOG_name	eggNOG_annotation
PKO85292.1	"1MZ5B,2KXFI06389,2VU4V,COG0776,COG0776"	hupB	"Histone-like DNA-binding protein which is capable of wrapping DNA to stabilize it, and thus to prevent its denaturation under extreme environmental conditions"
custom_2337782_18	"1MVAG,2KV9306389,2VKKZ,COG1305,COG1305,COG4196,COG4196"	MA20_16195	Putative amidoligase enzyme (DUF2126)
custom_1740066_14	"1MXCZ,2KUU906389,2VH1C,COG0563,COG0563"	adk	Catalyzes the reversible transfer of the terminal phosphate group between ATP and AMP. Plays an important role in cellular energy homeostasis and in adenine nucleotide metabolism
custom_579241_5	"1MX8P,2KV8N06389,2VH6W,COG4972,COG4972"	pilM	Pilus assembly protein
PKO86789.1	"1MXJU,2KKMQ06350,2VN9X,COG4772,COG4772"	-	TonB dependent receptor
custom_743713_5	"1MX1V,2KVEX06389,2VH1A,COG1190,COG1190"	lysS	Belongs to the class-II aminoacyl-tRNA synthetase family
PKO90229.1	"1MUUE,2VHHJ,44VEJ,COG0326,COG0326"	htpG	Hsp90 protein
custom_441880_20	"1MUMW,2VIR9,4A9TF0864,COG1077,COG1077"	mreB	"TIGRFAM cell shape determining protein, MreB Mrl family"
custom_1895780_18	"1HY7I,2NT68,4NE8M,COG0811,COG0811"	exbB	Flagellar motor protein MotA
custom_1079452_2	"1RH0W,2KWKB06389,2VSE6,COG0091,COG0091"	rplV	"The globular domain of the protein is located near the polypeptide exit tunnel on the outside of the subunit, while an extended beta-hairpin is found that lines the wall of the exit tunnel in the center of the 70S ribosome"
SMB25657.1	"1RA2Z,2KUXI06389,2VQ7Y,COG3470,COG3470"	tpd	Fe2+ transport protein
SMB26786.1	"1MUF5,2KUJV06389,2VIP3,COG0365,COG0365"	acsA	"Catalyzes the conversion of acetate into acetyl-CoA (AcCoA), an essential intermediate at the junction of anabolic and catabolic pathways. AcsA undergoes a two-step reaction. In the first half reaction, AcsA combines acetate with ATP to form acetyl-adenylate (AcAMP) intermediate. In the second half reaction, it can then transfer the acetyl group from AcAMP to the sulfhydryl group of CoA, forming the product AcCoA"
custom_2069702_8	"1MUV4,2KUBC06389,2VIVB,COG0501,COG0501"	htpX	Belongs to the peptidase M48B family
custom_1275931_3	"1MX51,2KY5T06389,2VJN5,COG0411,COG0411"	drrA	Branched-chain amino acid ATP-binding cassette transporter
PLX75252.1	"1KSMZ069,1MVIH,2VM8J,COG4263,COG4263"	nosZ	Cupredoxin-like domain
PLY03336.1	"1MVEN,2WIWS,42M64,43TCM,COG0443,COG0443"	dnaK	Heat shock 70 kDa protein
WP_101940445.1	"1MU43,2KUWB06389,2VHYU,COG0247,COG0247,COG0277,COG0277"	glpCD	FAD linked oxidase
custom_366897_2	"1MU37,2KUDD06389,2VHGH,COG0488,COG0488"	ybiT	of ABC transporters with duplicated ATPase
WP_101942277.1	"1MUCW,2KUZH06389,2VHGS,COG2010,COG2010"	ccoP	C-type cytochrome. Part of the cbb3-type cytochrome c oxidase complex
custom_2169753_6	"1MV97,2KUBF06389,2VHP5,COG1290,COG1290"	petB	"Component of the ubiquinol-cytochrome c reductase complex (complex III or cytochrome b-c1 complex), which is a respiratory chain that generates an electrochemical potential coupled to ATP synthesis"
WP_102246209.1	"1MURR,2KUH806389,2VIW1,COG0459,COG0459"	groL	Prevents misfolding and promotes the refolding and proper assembly of unfolded polypeptides generated under stress conditions
custom_753926_11	"1MUXX,2VIT2,4AA6N0864,COG1884,COG1884,COG2185,COG2185"	bhbA	Methylmalonyl-CoA mutase large subunit
PPC93060.1	"1MV21,2KKET06350,2VIAH,COG2609,COG2609"	aceE	"Component of the pyruvate dehydrogenase (PDH) complex, that catalyzes the overall conversion of pyruvate to acetyl-CoA and CO(2)"""
PPD16519.1	"1MV5D,2TSRF,3NA6S04,COG0834,COG0834"	aapJ	Bacterial periplasmic substrate-binding proteins
custom_1743341_4	"1MV5Q,2PVCG,2TR63,COG1217,COG1217"	typA	Elongation factor G C-terminus
custom_1611079_29	"1MVCE,1RMSU,1X3IA,COG0045,COG0045"	sucC	"Succinyl-CoA synthetase functions in the citric acid cycle (TCA), coupling the hydrolysis of succinyl-CoA to the synthesis of either ATP or GTP and thus represents the only step of substrate-level phosphorylation in the TCA. The beta subunit provides nucleotide specificity of the enzyme and binds the substrate succinate, while the binding sites for coenzyme A and phosphate are found in the alpha subunit"
custom_1691453_16	"1IPDP,4NEWS,COG0050,COG0050"	tuf	This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis
WP_105506304.1	"1K5JY060,1MURR,2VIW1,COG0459,COG0459"	groL	Prevents misfolding and promotes the refolding and proper assembly of unfolded polypeptides generated under stress conditions
WP_105998867.1	"1MU9K,2JZUI04457,2TTJG,COG1629,COG4206,COG4206,COG4771"	-	"COG1629 Outer membrane receptor proteins, mostly Fe transport"
custom_2063193_60	"1MUFQ,2TR4P,3N68I01,COG0192,COG0192"	metK	"Catalyzes the formation of S-adenosylmethionine (AdoMet) from methionine and ATP. The overall synthetic reaction is composed of two sequential steps, AdoMet formation and the subsequent tripolyphosphate hydrolysis which occurs prior to release of AdoMet from the enzyme"
custom_1755680_34	"1N6Q5,2UF6W,370M5,COG1278,COG1278"	-	'Cold-shock' DNA-binding domain
custom_225313_7	"1RH82,2U767,3EZAD,COG0360,COG0360"	rpsF	Binds together with S18 to 16S ribosomal RNA
custom_514557_1	"1MU3M,2TRHV,3JQRW,COG0086,COG0086"	rpoC	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates
custom_967558_17	"1MZIK,2UBRF,3NBF504,COG0186,COG0186"	rpsQ	"One of the primary rRNA binding proteins, it binds specifically to the 5'-end of 16S ribosomal RNA"
custom_2081026_123	"1MU1N,2TR04,43GQU,COG0148,COG0148"	eno	Catalyzes the reversible conversion of 2- phosphoglycerate into phosphoenolpyruvate. It is essential for the degradation of carbohydrates via glycolysis
custom_1274469_88	"1MWJ1,2TT0T,COG0683,COG0683"	livK	"ABC-type branched-chain amino acid transport systems, periplasmic component"
custom_2525317_81	"1MWR8,2JYN904441,2UQXU,COG0683,COG0683"	-	Receptor family ligand binding region
custom_900817_15	"1MVB9,2TRH3,3JR39,COG1185,COG1185"	pnp	Involved in mRNA degradation. Catalyzes the phosphorolysis of single-stranded polyribonucleotides processively in the 3'- to 5'-direction
custom_1688121_79	"1JSG5045,1MUF5,2TRKS,COG0365,COG0365"	acsA	"Catalyzes the conversion of acetate into acetyl-CoA (AcCoA), an essential intermediate at the junction of anabolic and catabolic pathways. AcsA undergoes a two-step reaction. In the first half reaction, AcsA combines acetate with ATP to form acetyl-adenylate (AcAMP) intermediate. In the second half reaction, it can then transfer the acetyl group from AcAMP to the sulfhydryl group of CoA, forming the product AcCoA"
custom_318999_111	"1MV5D,2TSRF,3JTG4,COG0834,COG0834"	-	Belongs to the bacterial solute-binding protein 3 family
custom_145868_35	"1MU1V,2TQR1,3JQU8,COG1012,COG1012"	-	Aldehyde dehydrogenase family
custom_737656_60	"1MV5T,2TQZC,COG0683,COG0683"	livK	"COG0683 ABC-type branched-chain amino acid transport systems, periplasmic component"
WP_106825664.1	"1MUCV,2VI3Q,4734N,COG0480,COG0480"	fusA	"Catalyzes the GTP-dependent ribosomal translocation step during translation elongation. During this step, the ribosome changes from the pre-translocational (PRE) to the post- translocational (POST) state as the newly formed A-site-bound peptidyl-tRNA and P-site-bound deacylated tRNA move to the P and E sites, respectively. Catalyzes the coordinated movement of the two tRNA molecules, the mRNA and conformational changes in the ribosome"
WP_106875037.1	"1TPKC,277WK,4HAEH061,COG0050,COG0050"	tuf	This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis
custom_2417854_1	"1RFBH,2VKB3,3726E003,COG1596,COG1596"	wza	Polysaccharide biosynthesis/export protein
WP_107492640.1	"1MW8G,2KUCF06389,2VHEQ,COG0777,COG0777"	accD	Component of the acetyl coenzyme A carboxylase (ACC) complex. Biotin carboxylase (BC) catalyzes the carboxylation of biotin on its carrier protein (BCCP) and then the CO(2) group is transferred by the transcarboxylase to acetyl-CoA to form malonyl- CoA
WP_107493908.1	"1MU9P,2KV6D06389,2VHS7,COG1024,COG1024,COG1250,COG1250"	fadB	3-hydroxyacyl-CoA dehydrogenase
custom_1182492_6	"1MU4H,2KVNS06389,2VISB,COG0439,COG0439"	accC	Biotin carboxylase
PUB73459.1	"1MX89,2K4BS04457,2TVB3,COG3497,COG3497"	-	Phage tail sheath protein
custom_1538591_2	"1P1NU,2C1GF,2WBJ8,349B3,37391003"	-	-
custom_2063193_60	"1MUFQ,2TR4P,3N68I01,COG0192,COG0192"	metK	"Catalyzes the formation of S-adenosylmethionine (AdoMet) from methionine and ATP. The overall synthetic reaction is composed of two sequential steps, AdoMet formation and the subsequent tripolyphosphate hydrolysis which occurs prior to release of AdoMet from the enzyme"
custom_1210350_21	"1MVMW,2TQKV,COG1653,COG1653"	ugpB	ABC-type sugar transport system periplasmic component
custom_1029064_65	"1MV5D,2TSRF,COG0834,COG0834"	aapJ	COG0834 ABC-type amino acid transport signal transduction systems periplasmic component domain
custom_1813001_74	"1MUG7,2TQYK,3JRUG,COG0056,COG0056"	atpA	Produces ATP from ADP in the presence of a proton gradient across the membrane. The alpha chain is a regulatory subunit
WP_108354970.1	"1MV5U,2VHKD,4A9UJ0864,COG0342,COG0342"	secD	Part of the Sec protein translocase complex. Interacts with the SecYEG preprotein conducting channel. SecDF uses the proton motive force (PMF) to complete protein translocation after the ATP-dependent function of SecA
custom_1076428_1	"1HY0A,3ZNWI,4NE8J,COG2885,COG2885"	-	Belongs to the ompA family
WP_108420862.1	"1MUF5,2VIP3,4AARI0864,COG0365,COG0365"	acsA	"Catalyzes the conversion of acetate into acetyl-CoA (AcCoA), an essential intermediate at the junction of anabolic and catabolic pathways. AcsA undergoes a two-step reaction. In the first half reaction, AcsA combines acetate with ATP to form acetyl-adenylate (AcAMP) intermediate. In the second half reaction, it can then transfer the acetyl group from AcAMP to the sulfhydryl group of CoA, forming the product AcCoA"
WP_108625880.1	"1MV1N,2KWA306389,2VJTA,COG1344,COG1344"	fliC	Flagellin is the subunit protein which polymerizes to form the filaments of bacterial flagella
custom_2117902_1	"1QWSY,2WH7U,COG3474,COG3474"	cyp	Cytochrome P460
custom_188009_2	"1MUC6,2KUVI06389,2VJ7A,COG0677,COG0677"	capL	UDP binding domain
WP_108948184.1	"1MUMF,2VIZ7,472NR,COG0334,COG0334"	gdhA	Glutamate/Leucine/Phenylalanine/Valine dehydrogenase
WP_109040872.1	"1NUIV,2KVY206389,2VHCZ,COG3696,COG3696"	cznA	AcrB/AcrD/AcrF family
WP_109041107.1	"1MUUE,2KUTN06389,2VHHJ,COG0326,COG0326"	htpG	Molecular chaperone. Has ATPase activity
WP_109121926.1	"1MVHC,2VHPJ,474R8,COG1638,COG1638"	dctP	periplasmic
WP_109680178.1	"1MUS8,1RP4D,1WW9F,COG0133,COG0133"	trpB	The beta subunit is responsible for the synthesis of L- tryptophan from indole and L-serine
WP_110012378.1	"1MUFI,2VI6W,4AA2Q0864,COG2025,COG2025"	etfA	"electron transfer flavoprotein, alpha subunit"
WP_110266925.1	"1MUXX,1RSHX,1X3T3,COG1703,COG1703,COG1884,COG1884,COG2185,COG2185"	icmF	"Catalyzes the reversible interconversion of isobutyryl- CoA and n-butyryl-CoA, using radical chemistry. Also exhibits GTPase activity, associated with its G-protein domain (MeaI) that functions as a chaperone that assists cofactor delivery and proper holo-enzyme assembly"
WP_110283506.1	"1MU2U,2TR8H,3JUGA,COG1249,COG1249"	lpdA	"Pyridine nucleotide-disulphide oxidoreductase, dimerisation domain"
PYM43668.1	"2NNWQ,COG4799,COG4799"	pccB	carboxyl transferase
WP_110526395.1	"1MVBQ,2KV9I06389,2VIEJ,COG0060,COG0060"	ileS	"amino acids such as valine, to avoid such errors it has two additional distinct tRNA(Ile)-dependent editing activities. One activity is designated as 'pretransfer' editing and involves the hydrolysis of activated Val-AMP. The other activity is designated 'posttransfer' editing and involves deacylation of mischarged Val-tRNA(Ile)"""
custom_396187_237	"47JD503,4NE8W,COG0202,COG0202"	rpoA	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates
custom_2251893_51	"47KRX03,4NF1Q,COG0055,COG0055"	atpD	Produces ATP from ADP in the presence of a proton gradient across the membrane. The catalytic sites are hosted primarily by the beta subunits
PZO03916.1	"1MVMD,2TS4J,3JQN4,COG4663,COG4663"	MA20_25950	Part of the tripartite ATP-independent periplasmic (TRAP) transport system
PZO12500.1	"1MU5B,2VHBR,4AAS10864,COG0104,COG0104"	purA	Plays an important role in the de novo pathway of purine nucleotide biosynthesis. Catalyzes the first committed step in the biosynthesis of AMP from IMP
custom_381122_29	"1MWUN,2VMU4,4ACEH0864,COG3203,COG3203"	-	PFAM porin Gram-negative type
custom_2051367_87	"1MU1N,2VH7Y,4A9T60864,COG0148,COG0148"	eno	Catalyzes the reversible conversion of 2- phosphoglycerate into phosphoenolpyruvate. It is essential for the degradation of carbohydrates via glycolysis
custom_1486196_2	"1QB78,1T6RH,1X7ZP,2ANW7,31DWS"	-	-
custom_1276918_2	"1MZ2X,1S8YR,1X7IA,COG0234,COG0234"	groS	Binds to Cpn60 in the presence of Mg-ATP and suppresses the ATPase activity of the latter
custom_751503_11	"1MUK0,1RNBX,1X45S,COG1960,COG1960"	gcdH	Acyl-CoA dehydrogenase
custom_2057606_55	"1MUS2,1RPBJ,1X3PJ,COG0264,COG0264"	tsf	Associates with the EF-Tu.GDP complex and induces the exchange of GDP to GTP. It remains bound to the aminoacyl-tRNA.EF- Tu.GTP complex up to the GTP hydrolysis stage on the ribosome
custom_1133207_8	"1MVFK,1RQ57,1X34A,COG3588,COG3588"	fbaB	Belongs to the class I fructose-bisphosphate aldolase family
PZQ52337.1	"1MUEV,2TRCF,2XMH707,COG1028,COG1028"	-	Acetoacetyl-CoA reductase
PZQ72791.1	"1MU5M,2VHM6,4ABBD0864,COG1053,COG1053"	sdhA	Belongs to the FAD-dependent oxidoreductase 2 family. FRD SDH subfamily
custom_300539_14	"1HZ6R,2XJNR,4NH5V,COG4772,COG4772"	fecA	TonB dependent receptor
custom_303012_446	"47JD503,4NE8W,COG0202,COG0202"	rpoA	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates
custom_770166_8	"1MUH4,2KUDP06389,2VH2M,COG0473,COG0473"	leuB	Catalyzes the oxidation of 3-carboxy-2-hydroxy-4- methylpentanoate (3-isopropylmalate) to 3-carboxy-4-methyl-2- oxopentanoate. The product decarboxylates to 4-methyl-2 oxopentanoate
custom_1869877_71	"1MV1N,2KWA306389,2VJTA,COG1344,COG1344"	fliC	Flagellin is the subunit protein which polymerizes to form the filaments of bacterial flagella
PZU90377.1	"1Q13Q,2TS7Y,4B8Z6,COG1840,COG1840"	-	"ABC-type Fe3 transport system, periplasmic component"
custom_574280_2	"1MU0R,2KF8E04458,2TR3C,COG0574,COG0574,COG1080,COG1080"	ppdK	Belongs to the PEP-utilizing enzyme family
WP_111478617.1	"47KRX03,4NF1Q,COG0055,COG0055"	atpD	Produces ATP from ADP in the presence of a proton gradient across the membrane. The catalytic sites are hosted primarily by the beta subunits
WP_111657866.1	"1MUG7,1RP4V,1XHRG,COG0056,COG0056"	atpA	Produces ATP from ADP in the presence of a proton gradient across the membrane. The alpha chain is a regulatory subunit
custom_2671537_291	"47KBE03,4NIJG,COG0457,COG0457"	-	Tetratricopeptide repeat protein
RCL80155.1	"1MUIB,2TQWD,3JTHU,COG0538,COG0538"	icd	Belongs to the isocitrate and isopropylmalate dehydrogenases family
custom_2271742_3	"1NC4E,1S9VJ,COG3637,COG3637"	pagN	Opacity family porin protein
WP_114588697.1	"38E06,3BAUV08,3CRFN,3SQUW0557,41TC1,448Y2088,COG5023,KOG1376"	-	"Tubulin/FtsZ family, C-terminal domain"
WP_114781850.1	"2DBAQ,2Z848,47N8C03,4NFR9"	-	-
WP_114830792.1	"1MVCE,2TRXK,3JRMM,COG0045,COG0045"	sucC	"Succinyl-CoA synthetase functions in the citric acid cycle (TCA), coupling the hydrolysis of succinyl-CoA to the synthesis of either ATP or GTP and thus represents the only step of substrate-level phosphorylation in the TCA. The beta subunit provides nucleotide specificity of the enzyme and binds the substrate succinate, while the binding sites for coenzyme A and phosphate are found in the alpha subunit"
WP_114969704.1	"1MUQX,2VMVP,4AJ780864,COG4993,COG4993"	-	PQQ enzyme repeat
custom_2298523_79	"1NS3T,2VIB1,4AB7E0864,COG0243,COG0243"	napA	Belongs to the prokaryotic molybdopterin-containing oxidoreductase family
WP_115755556.1	"1MV5Q,2PVCG,2TR63,COG1217,COG1217"	typA	Elongation factor G C-terminus
RFC33794.1	"1MURG,2VHJT,44VG1,COG0150,COG0150"	purM	PFAM AIR synthase related protein domain protein
custom_1894094_15	"1MUF5,2KPU006351,2VI3T,COG0365,COG0365"	prpE	Acetyl-coenzyme A synthetase N-terminus
custom_769325_3	"1N6WR,2VM61,4A9SU0864,COG4566,COG4566"	fixJ	"Two component transcriptional regulator, LuxR family"
WP_117180033.1	"1MV1N,2KWA306389,2VJTA,COG1344,COG1344"	fliC	Flagellin is the subunit protein which polymerizes to form the filaments of bacterial flagella
WP_117291645.1	"1MVCR,1RNMC,1X3YB,COG1049,COG1049"	acnB	Belongs to the aconitase IPM isomerase family
custom_2347518_2	"1MVD9,2KV1206389,2VH9B,COG0592,COG0592"	dnaN	"Confers DNA tethering and processivity to DNA polymerases and other proteins. Acts as a clamp, forming a ring around DNA (a reaction catalyzed by the clamp-loading complex) which diffuses in an ATP-independent manner freely and bidirectionally along dsDNA. Initially characterized for its ability to contact the catalytic subunit of DNA polymerase III (Pol III), a complex, multichain enzyme responsible for most of the replicative synthesis in bacteria"
custom_2619541_7	"1MUTQ,2KURC06389,2VH5Q,COG0129,COG0129"	ilvD	Belongs to the IlvD Edd family
WP_117608031.1	"1MU9B,2KUJZ06389,2VGZ8,COG0840,COG0840"	-	Cache 3/Cache 2 fusion domain
custom_2424720_16	"1MZTV,2KWKV06389,2VSP6,COG2885,COG2885"	pal	Belongs to the ompA family
custom_362085_3	"1MVWJ,2KUM906389,2VI5U,COG1171,COG1171"	ilvA	"Catalyzes the anaerobic formation of alpha-ketobutyrate and ammonia from threonine in a two-step reaction. The first step involved a dehydration of threonine and a production of enamine intermediates (aminocrotonate), which tautomerizes to its imine form (iminobutyrate). Both intermediates are unstable and short- lived. The second step is the nonenzymatic hydrolysis of the enamine imine intermediates to form 2-ketobutyrate and free ammonia. In the low water environment of the cell, the second step is accelerated by RidA"
custom_484501_12	"1MU3C,2KUUY06389,2VHNA,COG0468,COG0468"	recA	"Can catalyze the hydrolysis of ATP in the presence of single-stranded DNA, the ATP-dependent uptake of single-stranded DNA by duplex DNA, and the ATP-dependent hybridization of homologous single-stranded DNAs. It interacts with LexA causing its activation and leading to its autocatalytic cleavage"
